name,state,state_code,type,degree_length,cost_type,in_state,AY2017,AY2016,AY2015,AY2014,AY2013,AY2012,AY2011,AY2010,AY2009
Skagit Valley College,Washington,WA,Public,2 Year,total,out,18500,18500,18500,19100,19100,18500,17400,16800,16600
Skagit Valley College,Washington,WA,Public,2 Year,tuition,in,4200,4200,4200,4200,4200,3900,3600,3500,3300
Skidmore College,New York,NY,Private,4 Year,total,in,69450,67000,64850,62750,60900,58562,56500,54670,54000
Skidmore College,New York,NY,Private,4 Year,total,out,69450,67000,64850,62750,60900,58562,56500,54670,54000
Skidmore College,New York,NY,Private,4 Year,tuition,in,52596,50834,49120,47464,45874,44170,42380,41184,40420
Slippery Rock University of Pennsylvania,Pennsylvania,PA,Public,4 Year,total,in,24377,23806,23417,22600,22132,21600,21399,19600,19032
Slippery Rock University of Pennsylvania,Pennsylvania,PA,Public,4 Year,total,out,28365,27660,26947,26230,25634,24998,24698,22620,21913
Slippery Rock University of Pennsylvania,Pennsylvania,PA,Public,4 Year,tuition,in,10205,9862,9645,9309,9027,8748,8505,7666,7235
Smith College,Massachusetts,MA,Private,4 Year,total,in,69563,66647,64486,62330,60167,57913,55993,54212,52756
Smith College,Massachusetts,MA,Private,4 Year,total,out,69563,66647,64486,62330,60167,57913,55993,54212,52756
Smith College,Massachusetts,MA,Private,4 Year,tuition,in,50044,47904,46288,44724,43114,41460,40070,38898,37758
Snead State Community College,Alabama,AL,Public,2 Year,total,in,13045,12672,12612,11936,10771,10628,10827,10740,9970
Snead State Community College,Alabama,AL,Public,2 Year,total,out,16615,16182,16062,15326,14101,13244,14037,13440,12100
Snead State Community College,Alabama,AL,Public,2 Year,tuition,in,4500,4440,4380,4320,4260,4104,4140,3390,2820
Snow College,Utah,UT,Public,2 Year,total,in,12892,14492,14084,15188,15020,14486,12510,11942,11042
Snow College,Utah,UT,Public,2 Year,total,out,21582,22970,22276,23142,22522,21630,19186,17638,16738
Snow College,Utah,UT,Public,2 Year,tuition,in,3692,3592,3484,3388,3220,3086,2910,2542,2542
Soka University of America,California,CA,Private,4 Year,total,in,47368,45592,46504,44550,43128,41274,39848,37984,37212
Soka University of America,California,CA,Private,4 Year,total,out,47368,45592,46504,44550,43128,41274,39848,37984,37212
Soka University of America,California,CA,Private,4 Year,tuition,in,31776,31042,30642,30214,29144,28146,27226,26202,25352
Sonoma State University,California,CA,Public,4 Year,total,in,26034,25178,24680,23655,23295,24262,23931,21808,21550
Sonoma State University,California,CA,Public,4 Year,total,out,37914,36338,35840,34815,34455,35920,35091,32968,32710
Sonoma State University,California,CA,Public,4 Year,tuition,in,7724,7388,7330,7276,7234,7162,6862,5508,5290
South Carolina State University,South Carolina,SC,Public,4 Year,total,in,29740,29420,29088,28007,26244,25426,25426,23010,21974
South Carolina State University,South Carolina,SC,Public,4 Year,total,out,40120,39500,38856,37856,35378,34338,34338,31582,30138
South Carolina State University,South Carolina,SC,Public,4 Year,tuition,in,10740,10420,10088,10007,9776,9258,9258,9198,8462
